Right inference, 461, Wrong inference, 539, Classification accuracy, 0.461
Right inference, 461, Wrong inference, 539, Classification accuracy, 0.461
Right inference, 891, Wrong inference, 109, Classification accuracy, 0.891
Right inference, 891, Wrong inference, 109, Classification accuracy, 0.891
Right inference, 891, Wrong inference, 109, Classification accuracy, 0.891
Right inference, 891, Wrong inference, 109, Classification accuracy, 0.891
Right inference, 891, Wrong inference, 109, Classification accuracy, 0.891
Right inference, 907, Wrong inference, 93, Classification accuracy, 0.907
Right inference, 907, Wrong inference, 93, Classification accuracy, 0.907
Right inference, 907, Wrong inference, 93, Classification accuracy, 0.907
Right inference, 907, Wrong inference, 93, Classification accuracy, 0.907
Right inference, 907, Wrong inference, 93, Classification accuracy, 0.907
Right inference, 907, Wrong inference, 93, Classification accuracy, 0.907
Right inference, 907, Wrong inference, 93, Classification accuracy, 0.907
Right inference, 907, Wrong inference, 93, Classification accuracy, 0.907
Right inference, 907, Wrong inference, 93, Classification accuracy, 0.907
Right inference, 907, Wrong inference, 93, Classification accuracy, 0.907
Right inference, 907, Wrong inference, 93, Classification accuracy, 0.907
Right inference, 910, Wrong inference, 90, Classification accuracy, 0.91
Right inference, 910, Wrong inference, 90, Classification accuracy, 0.91
Right inference, 910, Wrong inference, 90, Classification accuracy, 0.91
Right inference, 910, Wrong inference, 90, Classification accuracy, 0.91
Right inference, 910, Wrong inference, 90, Classification accuracy, 0.91
Right inference, 910, Wrong inference, 90, Classification accuracy, 0.91
Right inference, 910, Wrong inference, 90, Classification accuracy, 0.91
Right inference, 910, Wrong inference, 90, Classification accuracy, 0.91
Right inference, 920, Wrong inference, 80, Classification accuracy, 0.92
Right inference, 920, Wrong inference, 80, Classification accuracy, 0.92
Right inference, 920, Wrong inference, 80, Classification accuracy, 0.92
Right inference, 920, Wrong inference, 80, Classification accuracy, 0.92
Right inference, 928, Wrong inference, 72, Classification accuracy, 0.928
Right inference, 928, Wrong inference, 72, Classification accuracy, 0.928
Right inference, 928, Wrong inference, 72, Classification accuracy, 0.928
Right inference, 928, Wrong inference, 72, Classification accuracy, 0.928
Right inference, 928, Wrong inference, 72, Classification accuracy, 0.928
Right inference, 928, Wrong inference, 72, Classification accuracy, 0.928
