Right inference, 587, Wrong inference, 413, Classification accuracy, 0.587
Right inference, 587, Wrong inference, 413, Classification accuracy, 0.587
Right inference, 587, Wrong inference, 413, Classification accuracy, 0.587
Right inference, 529, Wrong inference, 471, Classification accuracy, 0.529
Right inference, 574, Wrong inference, 426, Classification accuracy, 0.574
Right inference, 587, Wrong inference, 413, Classification accuracy, 0.587
Right inference, 537, Wrong inference, 463, Classification accuracy, 0.537
Right inference, 537, Wrong inference, 463, Classification accuracy, 0.537
Right inference, 537, Wrong inference, 463, Classification accuracy, 0.537
Right inference, 537, Wrong inference, 463, Classification accuracy, 0.537
Right inference, 587, Wrong inference, 413, Classification accuracy, 0.587
Right inference, 587, Wrong inference, 413, Classification accuracy, 0.587
Right inference, 587, Wrong inference, 413, Classification accuracy, 0.587
Right inference, 587, Wrong inference, 413, Classification accuracy, 0.587
Right inference, 587, Wrong inference, 413, Classification accuracy, 0.587
Right inference, 587, Wrong inference, 413, Classification accuracy, 0.587
Right inference, 537, Wrong inference, 463, Classification accuracy, 0.537
Right inference, 587, Wrong inference, 413, Classification accuracy, 0.587
Right inference, 587, Wrong inference, 413, Classification accuracy, 0.587
Right inference, 537, Wrong inference, 463, Classification accuracy, 0.537
Right inference, 537, Wrong inference, 463, Classification accuracy, 0.537
Right inference, 537, Wrong inference, 463, Classification accuracy, 0.537
Right inference, 587, Wrong inference, 413, Classification accuracy, 0.587
Right inference, 537, Wrong inference, 463, Classification accuracy, 0.537
Right inference, 537, Wrong inference, 463, Classification accuracy, 0.537
Right inference, 537, Wrong inference, 463, Classification accuracy, 0.537
Right inference, 587, Wrong inference, 413, Classification accuracy, 0.587
Right inference, 537, Wrong inference, 463, Classification accuracy, 0.537
Right inference, 587, Wrong inference, 413, Classification accuracy, 0.587
Right inference, 587, Wrong inference, 413, Classification accuracy, 0.587
Right inference, 587, Wrong inference, 413, Classification accuracy, 0.587
Right inference, 587, Wrong inference, 413, Classification accuracy, 0.587
Right inference, 587, Wrong inference, 413, Classification accuracy, 0.587
Right inference, 587, Wrong inference, 413, Classification accuracy, 0.587
Right inference, 537, Wrong inference, 463, Classification accuracy, 0.537
Right inference, 537, Wrong inference, 463, Classification accuracy, 0.537
Right inference, 537, Wrong inference, 463, Classification accuracy, 0.537
Right inference, 587, Wrong inference, 413, Classification accuracy, 0.587
Right inference, 587, Wrong inference, 413, Classification accuracy, 0.587
Right inference, 587, Wrong inference, 413, Classification accuracy, 0.587
Right inference, 587, Wrong inference, 413, Classification accuracy, 0.587
Right inference, 951, Wrong inference, 49, Classification accuracy, 0.951
Right inference, 594, Wrong inference, 406, Classification accuracy, 0.594
Right inference, 594, Wrong inference, 406, Classification accuracy, 0.594
Right inference, 951, Wrong inference, 49, Classification accuracy, 0.951
Right inference, 951, Wrong inference, 49, Classification accuracy, 0.951
Right inference, 951, Wrong inference, 49, Classification accuracy, 0.951
Right inference, 951, Wrong inference, 49, Classification accuracy, 0.951
Right inference, 951, Wrong inference, 49, Classification accuracy, 0.951
Right inference, 951, Wrong inference, 49, Classification accuracy, 0.951
Right inference, 951, Wrong inference, 49, Classification accuracy, 0.951
Right inference, 951, Wrong inference, 49, Classification accuracy, 0.951
Right inference, 951, Wrong inference, 49, Classification accuracy, 0.951
Right inference, 951, Wrong inference, 49, Classification accuracy, 0.951
Right inference, 951, Wrong inference, 49, Classification accuracy, 0.951
Right inference, 951, Wrong inference, 49, Classification accuracy, 0.951
Right inference, 951, Wrong inference, 49, Classification accuracy, 0.951
Right inference, 951, Wrong inference, 49, Classification accuracy, 0.951
Right inference, 951, Wrong inference, 49, Classification accuracy, 0.951
