Right inference, 461, Wrong inference, 539, Classification accuracy, 0.461
Right inference, 648, Wrong inference, 352, Classification accuracy, 0.648
Right inference, 648, Wrong inference, 352, Classification accuracy, 0.648
Right inference, 648, Wrong inference, 352, Classification accuracy, 0.648
Right inference, 648, Wrong inference, 352, Classification accuracy, 0.648
Right inference, 695, Wrong inference, 305, Classification accuracy, 0.695
Right inference, 944, Wrong inference, 56, Classification accuracy, 0.944
Right inference, 944, Wrong inference, 56, Classification accuracy, 0.944
Right inference, 944, Wrong inference, 56, Classification accuracy, 0.944
Right inference, 944, Wrong inference, 56, Classification accuracy, 0.944
Right inference, 944, Wrong inference, 56, Classification accuracy, 0.944
Right inference, 944, Wrong inference, 56, Classification accuracy, 0.944
Right inference, 951, Wrong inference, 49, Classification accuracy, 0.951
Right inference, 968, Wrong inference, 32, Classification accuracy, 0.968
Right inference, 968, Wrong inference, 32, Classification accuracy, 0.968
Right inference, 968, Wrong inference, 32, Classification accuracy, 0.968
Right inference, 968, Wrong inference, 32, Classification accuracy, 0.968
Right inference, 968, Wrong inference, 32, Classification accuracy, 0.968
Right inference, 968, Wrong inference, 32, Classification accuracy, 0.968
Right inference, 968, Wrong inference, 32, Classification accuracy, 0.968
Right inference, 968, Wrong inference, 32, Classification accuracy, 0.968
Right inference, 968, Wrong inference, 32, Classification accuracy, 0.968
Right inference, 968, Wrong inference, 32, Classification accuracy, 0.968
Right inference, 968, Wrong inference, 32, Classification accuracy, 0.968
Right inference, 968, Wrong inference, 32, Classification accuracy, 0.968
Right inference, 968, Wrong inference, 32, Classification accuracy, 0.968
Right inference, 975, Wrong inference, 25, Classification accuracy, 0.975
Right inference, 975, Wrong inference, 25, Classification accuracy, 0.975
Right inference, 975, Wrong inference, 25, Classification accuracy, 0.975
Right inference, 975, Wrong inference, 25, Classification accuracy, 0.975
Right inference, 975, Wrong inference, 25, Classification accuracy, 0.975
Right inference, 975, Wrong inference, 25, Classification accuracy, 0.975
Right inference, 975, Wrong inference, 25, Classification accuracy, 0.975
Right inference, 975, Wrong inference, 25, Classification accuracy, 0.975
Right inference, 975, Wrong inference, 25, Classification accuracy, 0.975
Right inference, 975, Wrong inference, 25, Classification accuracy, 0.975
Right inference, 975, Wrong inference, 25, Classification accuracy, 0.975
Right inference, 975, Wrong inference, 25, Classification accuracy, 0.975
Right inference, 975, Wrong inference, 25, Classification accuracy, 0.975
Right inference, 975, Wrong inference, 25, Classification accuracy, 0.975
Right inference, 975, Wrong inference, 25, Classification accuracy, 0.975
Right inference, 975, Wrong inference, 25, Classification accuracy, 0.975
Right inference, 975, Wrong inference, 25, Classification accuracy, 0.975
Right inference, 975, Wrong inference, 25, Classification accuracy, 0.975
Right inference, 975, Wrong inference, 25, Classification accuracy, 0.975
Right inference, 975, Wrong inference, 25, Classification accuracy, 0.975
Right inference, 975, Wrong inference, 25, Classification accuracy, 0.975
Right inference, 975, Wrong inference, 25, Classification accuracy, 0.975
Right inference, 988, Wrong inference, 12, Classification accuracy, 0.988
Right inference, 988, Wrong inference, 12, Classification accuracy, 0.988
Right inference, 988, Wrong inference, 12, Classification accuracy, 0.988
Right inference, 988, Wrong inference, 12, Classification accuracy, 0.988
Right inference, 988, Wrong inference, 12, Classification accuracy, 0.988
Right inference, 988, Wrong inference, 12, Classification accuracy, 0.988
Right inference, 988, Wrong inference, 12, Classification accuracy, 0.988
Right inference, 988, Wrong inference, 12, Classification accuracy, 0.988
Right inference, 988, Wrong inference, 12, Classification accuracy, 0.988
Right inference, 988, Wrong inference, 12, Classification accuracy, 0.988
Right inference, 988, Wrong inference, 12, Classification accuracy, 0.988
